Name,Intelligence,Strength,Speed,Durability,Power,Combat,Tier,SuperPowers,Universe,Alignment,Gender
Barlowe,55,55,70,90,95,100,5,"Ability Shift,Absolute Condition,Acausality,Agility,Air Control,Antiforce Manipulation,Antimatter Manipulation,Arcane Magic,Arcane Magic,Astral Projection,Astro Force,Bullet Time,Causality Manipulation,Chaos Energy,Chaos Magic,Chaos Manipulation,Corruption,Curse Manipulation,Dark Arts,Dark Magic,Dark Matter Manipulation,Darkforce Manipulation,Data Manipulation,Energy Constructs,Energy Manipulation,Enhanced Condition,Enhanced Hearing,Enhanced Memory,Enhanced Senses,Enhanced Sight,Enhanced Smell,Enhanced Thievery,Enhanced Touch,Enigma Force,Flight,Food Manipulation,Gravity Control,Intelligence,Mind Control,Rune Magic,Sage Mode,Super Speed,Super Strength,Astral Trap,Attack Reflection,Chain Manipulation,Creation,Damage Boost,Dimension Storage,Dimensional Awareness,Ectoplasm Manipulation,Electro-Magnetism Manipulation,Electrokinesis,Element Control,Elemental Transmogrification,Higher Dimensional Manipulation,Hive-Mind,Molecular Combustion,Molecular Dissipation,Molecular Immobilization,Molecular Manipulation,Molecular Oscillation,Morality Manipulation,Necromancy,Physics Manipulation,Portal Creation,Possession,Power Bestowal,Power Cosmic,Regeneration,Spatial Awareness,Spatial Communication,Spatial Manipulation,Summoning,Super Breath,Supernatural Condition,Unholy Manipulation,Cryokinesis,Crystal Touch,Curse Resistance",Castlevania - Castlevania,Bad,Male
Carmilla,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,Bad,Female
Carrie Fernandez,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Female
Charlotte Aulin,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Female
Christopher Belmont,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Male
Dario Bossi,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Male
Desmond Belmont,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Male
Dmitrii Blinov,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Male
Dracula,90,100,7,100,100,75,7,"Acrobatics,Agility,Blood Manipulation,Durability,Endurance,Immortality,Intelligence,Magic,Pain Suppression,Reflexes,Regeneration,Stamina,Super Speed,Super Strength,Absorption,Animal Control,Animal Oriented Powers,Anti-Gravity,Apathy,Astral Projection,Attack Reflection,Black Hole Manipulation,Body Puppetry,Chaos Magic,Chaos Manipulation,Cold Resistance,Conceptual Manipulation,Corruption,Corruption Resistance,Cryokinesis,Curse Manipulation,Death Manipulation,Deconstruction,Dexterity,Dream Manipulation,Electrokinesis,Element Control,Energy Manipulation,Enhanced Senses,Existence Erasure,Fire Control,Flight,Force Fields,Gravity Control,Heat Resistance,Hellfire Manipulation,Hellfire Resistance,Illusions,Intangibility,Invisibility,Invulnerability,Law Manipulation,Levitation,Life Manipulation,Marksmanship,Matter Manipulation,Mind Control,Mind Control Resistance,Non-Corporeal,Non-Physical Interaction,Paralysis,Phasing,Physics Manipulation,Pocket Dimensions,Portal Creation,Possession Resistance,Power Mimicry,Power Nullifier,Reality Warping,Resurrection,Self-Sustenance,Shapeshifting,Sleep Manipulation,Soul Manipulation,Soul Resistance,Spatial Manipulation,Stealth,Subjective Reality,Summoning,Super Breath,Supernatural Condition,Telekinesis,Telepathy,Teleportation,Terrakinesis,Time Manipulation,Time Manipulation Resistance,Time Travel,Toxin and Disease Control,Toxin and Disease Resistance,Transformation,Umbrakinesis,Void Manipulation,Water Control,Weather Control,Wind Control,Afterimage Creation,Holy Manipulation,Holy Resistance,Master Martial Artist,Master Tactician",Castlevania - Castlevania,Bad,Male
Drolta Tzuentes,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,
Elizabeth Bartley,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Female
Eric Lecarde,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Male
Gabriel Belmont (The prince of darkness),90,85,7,90,90,100,7,"Ability Shift,Absolute Condition,Absorption,Acausality,Accelerated Development,Accelerated Healing,Agility,Air Control,Amphibious Respiration,Anti-Gravity,Antiforce Manipulation,Antimatter Manipulation,Arcane Magic,Arcane Magic,Astral Projection,Attack Reflection,Audio Control,Aura,Avatar Creation,Awakened Power,Broadway Force,Bullet Time,Causality Manipulation,Chain Manipulation,Chaos Energy,Chaos Magic,Chaos Manipulation,Chemokinesis,Chi Manipulation,Compassion Inducement,Conceptual Manipulation,Corruption Resistance,Cosmic Awareness,Creation,Cryokinesis,Crystal Touch,Danmaku,Dark Arts,Dark Magic,Dark Matter Manipulation,Darkforce Manipulation,Dream Manipulation,Duplication,Durability,Energy Armor,Energy Beams,Energy Blasts,Energy Constructs,Energy Embodiment,Energy Manipulation,Extrasensory Perception,Fate Manipulation,Fear Inducement,Fear Manipulation,Force Ghost,Heal,Heat Generation,Hellfire Manipulation,Higher Dimensional Manipulation,Hive-Mind,Holy Manipulation,Hypnotic Suggestion,Intelligence,Invulnerability,Levitation,Life Manipulation,Madness Manipulation,Marksmanship,Master Martial Artist,Master Tactician,Mathematics Manipulation,Matter Manipulation,Necromancy,New Power,Non-Physical Interaction,Nothingness Aspect Manifestation,Organic Manipulation,Origin Manipulation,Pain Manipulation,Pain Suppression,Peak Human Condition,Pocket Dimensions,Portal Creation,Possession,Postcognition,Power Absorption,Power Bestowal,Power Cosmic,Regeneration,Resurrection,Rune Magic,Self-Sustenance,Shadow Manipulation,Shapeshifting,Smoke Manipulation,Soul Manipulation,Sound Manipulation,Space Manipulation,Spatial Awareness,Spatial Communication,Spatial Manipulation,Still Force,Strength Force,Swordsmanship,Symbiote Costume,Symbiotic Regeneration,Telekinesis,Telepathy,Teleportation,Time Manipulation,Time Manipulation Resistance,Toxin and Disease Control,Transformation,Transmutation,Truth Manipulation,Umbrakinesis,Unholy Manipulation,Void Manipulation,Vortex Creation,Weapon Creation,Weapon Summoning,Weapons Master,Weather Control,Acid Manipulation,Acid Resistants,Acidic Spit,Acrobatics,Adaptation,Afterimage Creation,Amber,Animal Control,Apathy,Apotheosis,Banish,Berserk Mode,BFRBiokinesis,Bionics,Black Hole Manipulation,Blood Manipulation,Bloodlust,Clairvoyance,Cloaking,Cloning,Cloth Manipulation,Cold Resistance,Corruption,Curse Manipulation,Curse Resistance,Damage Boost,Damage Reduction,Damage Transferal,Data Manipulation,Disguise Mastery,Durability Negation,Ectoplasm Manipulation,Electrical Transport,Electro-Magnetism Manipulation,Electrokinesis,Element Control,Elemental Transmogrification,Enhanced Condition,Enhanced Hearing,Enhanced Memory,Enhanced Senses,Enhanced Sight,Enhanced Smell,Enhanced Thievery,Enhanced Touch,Enigma Force,Entropy Projection,Exorcism,Fire Control,Fire Resistance,Food Manipulation,Grappling/Climbing,Gravity Control,Greed Inducement,Grim Reaping,Hellfire Resistance,Holy Resistance,Hyperkinesis,Hypnokinesis,Immortality,Intangibility,Large Size,Lava Manipulation,Law Manipulation,Liquid Transmutation,Luck,Magic,Magma Manipulation,Memory Manipulation,Mind Control,Molecular Manipulation,Morality Manipulation,Power Sense,Power Suit,Precognition,Preparation,Pressure Points,Probability Manipulation,Projection,Radiation Immunity,Reality Warping,Summoning,Underwater breathing,Unholy Resistance,Astral Trap,Astral Travel,Astro Force,Attack Negation,Blessed,Danger Sense,Death Manipulation,Death Touch,Decay Embodiment,Deconstruction,Demon Physiology,Density Control,Dexterity,Dimension Storage,Dimensional Awareness,Dimensional Travel,Disarmament,Space Survivability",Castlevania - Castlevania,Good,Male
Galamoth,55,6,45,95,100,45,6,"Ability Shift,Absolute Condition,Acausality,Accelerated Development,Accelerated Healing,Amphibious Respiration,Animal Attributes,Animal Control,Animal Oriented Powers,Anti-Gravity,Antiforce Manipulation,Antimatter Manipulation,Arcane Magic,Arcane Magic,Astral Trap,Chain Manipulation,Chaos Energy,Chaos Magic,Chaos Manipulation,Dark Arts,Dark Magic,Dark Matter Manipulation,Darkforce Manipulation,Dimension Storage,Dimensional Awareness,Durability,Electrical Transport,Electro-Magnetism Manipulation,Electrokinesis,Energy Manipulation,Large Size,Magnetism,Matter Manipulation,Plasma Manipulation,Space Manipulation,Stamina,Super Speed,Super Strength,Void Manipulation,Weather Control,Astral Travel,Avatar Creation,Awakened Power,Black Hole Manipulation,Bloodlust,Bullet Time,Causality Manipulation,Chi Manipulation,Compassion Inducement,Conceptual Manipulation,Cosmic Awareness,Creation,Curse Manipulation,Damage Boost,Data Manipulation,Echolocation,Element Control,Elemental Transmogrification,Enhanced Condition,Enhanced Hearing,Enhanced Memory,Enhanced Senses,Enhanced Sight,Enhanced Smell,Enhanced Thievery,Enhanced Touch,Entropy Projection,Exorcism,Gravity Control,Information Manipulation,Perception Manipulation,Perfect Recollection,Physics Manipulation,Power Augmentation,Power Cosmic,Precognition,Preparation,Rune Magic,Shadow Manipulation,Soul Manipulation,Spatial Awareness,Spatial Communication,Spatial Manipulation,Stasis,Statistics Amplification,Super Breath,Supernatural Condition,Toxin and Disease Resistance,Umbrakinesis,Underwater breathing,Unholy Manipulation,Unholy Resistance,Vortex Creation,Astral Projection,Astro Force,Berserk Mode,Electricity Absorption,Electricity Resistance,Higher Dimensional Manipulation,Immortality,Time Manipulation Resistance,Wind Control",Castlevania - Castlevania,Bad,Male
Genya Arikado,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Male
Graham Jones,60,6,25,25,90,45,6,"Ability Shift,Acausality,Agility,Air Control,Arcane Magic,Arcane Magic,Astral Projection,Berserk Mode,Blood Manipulation,Bloodlust,Causality Manipulation,Causality Resistance,Chaos Energy,Chaos Magic,Chaos Manipulation,Conceptual Manipulation,Curse Resistance,Damage Boost,Dark Magic,Dark Matter Manipulation,Darkforce Manipulation,Demon Physiology,Dimension Storage,Dimensional Awareness,Electro-Magnetism Manipulation,Electrokinesis,Levitation,Reality Warping,Self-Sustenance,Super Breath,Super Speed,Super Strength,Supernatural Condition,Toxin and Disease Resistance,Transformation,Cosmic Awareness,Creation,Durability Negation,Element Control,Energy Manipulation,Enhanced Hearing,Enhanced Senses,Enhanced Touch,Exorcism,Hellfire Manipulation,Magma Manipulation,Soul Manipulation,Sound Manipulation,Space Manipulation,Summoning,Teleportation,Time Manipulation Resistance,Underwater breathing,Unholy Manipulation,Unholy Resistance,Cold Resistance",Castlevania - Castlevania,Bad,Male
Hector,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Male
Henry Oldrey,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Male
Hugh Baldwin,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Male
Joachim Armster,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Male
John Morris,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Male
Jonathan Morris,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Male
Julia Laforeze,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Female
Julius Belmont,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Male
Juste Belmont,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Male
Leon Belmont,70,6,90,100,100,100,6,"Acrobatics,Agility,Attack Reflection,Chain Manipulation,Cold Resistance,Danmaku,Electricity Resistance,Endurance,Energy Blasts,Enhanced Hearing,Enhanced Touch,Explosion Manipulation,Force Fields,Heat Resistance,Holy Manipulation,Holy Resistance,Homing Attack,Hunters Instinct,Immortality Negation,Intelligence,Invulnerability,Jump,Magic,Magic Resistance,Master Martial Artist,Master Tactician,Possession Resistance,Power Nullifier,Radiation Immunity,Reality Warping Resistance,Reflexes,Regeneration Negation,Self-Sustenance,Soul Manipulation,Soul Resistance,Stamina,Statistics Amplification,Swordsmanship,Time Manipulation Resistance,Toxin and Disease Resistance,Weapons Master,Acid Resistants,Causality Resistance,Clairvoyance Resistance,Corruption Resistance,Cryokinesis,Curse Resistance,Dexterity,Electrokinesis,Element Control,Energy Resistance,Enhanced Memory,Enhanced Senses,Enhanced Sight,Fire Control,Fire Resistance,Heat Generation,Illusion Resistance,Indomitable Will,Invisibility,Mind Control Resistance,Non-Physical Interaction,Preparation,Sealing,Shockwaves Generation,Status Effect Inducement,Telepathy Resistance,Accelerated Healing,Immortality,Regeneration",Castlevania - Castlevania,Good,Male
Lisa Tepes,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Female
Loretta Lecarde,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Female
Lydie Erlanger,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Female
Maria Renard,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Female
Maxim Kischine,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Male
Menace,50,6,25,25,90,100,6,"Ability Shift,Absolute Condition,Acausality,Accelerated Development,Accelerated Healing,Acid Manipulation,Acid Resistants,Amphibious Respiration,Astral Projection,Astral Trap,Astral Travel,Astro Force,Blood Manipulation,Bloodlust,Chaos Energy,Chaos Magic,Chaos Manipulation,Cosmic Awareness,Creation,Dark Arts,Dark Magic,Dark Matter Manipulation,Darkforce Manipulation,Demon Physiology,Dimension Storage,Dimensional Awareness,Durability,Energy Manipulation,Enhanced Condition,Enhanced Hearing,Enhanced Memory,Enhanced Senses,Enhanced Sight,Enhanced Smell,Enhanced Thievery,Enhanced Touch,Force Ghost,Gravity Control,Heal,Higher Dimensional Manipulation,Homing Attack,Hunters Instinct,Immortality,Large Size,Liquid Transmutation,Longevity,Madness Manipulation,Magic,Matter Manipulation,Memory Manipulation,Molecular Combustion,Molecular Dissipation,Molecular Immobilization,Molecular Manipulation,Molecular Oscillation,Morality Manipulation,Non-Physical Interaction,Organic Manipulation,Pataphysics Manipulation,Peak Human Condition,Perception Manipulation,Perfect Recollection,Physical Anomaly,Physics Manipulation,Plasma Manipulation,Power Bestowal,Power Cosmic,Radiation Absorption,Radiation Control,Radiation Immunity,Regeneration,Resurrection,Rune Magic,Self-Sustenance,Shadow Manipulation,Sound Manipulation,Space Manipulation,Spatial Awareness,Spatial Communication,Spatial Manipulation,Stamina,Still Force,Strength Force,Summoning,Super Breath,Super Strength,Supernatural Condition,Toxin and Disease Control,Umbrakinesis,Underwater breathing,Unholy Manipulation,Uni-Power,Audio Control,Avatar Creation,Awakened Power,Biokinesis,Black Hole Manipulation,Bone Manipulation,Bullet Time,Causality Manipulation,Compassion Inducement,Conceptual Manipulation,Curse Manipulation,Data Manipulation,Death Manipulation,Death Touch,Decay Embodiment,Deconstruction,Density Control,Dexterity,Dimensional Travel,Ectoplasm Manipulation,Endurance,Enigma Force,Entropy Projection,Exorcism,Extrasensory Perception,Gamma Mutant Physiology,Metaphysics Manipulation,Nothingness Aspect Manifestation,Pain Manipulation,Pocket Dimensions,Portal Creation,Power Augmentation,Reflexes,Scanning,Sealing,Seismic Power,Sonar,Sonic Scream,Spirit Control,Symbiote Costume,Symbiotic Regeneration,Void Manipulation,Vortex Creation,Dream Manipulation,Electrical Transport,Information Analysis,Information Manipulation,Interstellar Travel,Law Manipulation,Origin Manipulation,Smoke Manipulation,Social Influencing,Soul Manipulation,Space Survivability,Stasis,Subjective Reality,Toxin and Disease Resistance,Transformation,Transmutation",Castlevania - Castlevania,Bad,Male
Mina Hakuba,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Female
Nathan Graves,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Male
Reinhardt Schneider,55,5,55,80,80,70,5,"Attack Reflection,Corruption Resistance,Dimension Storage,Durability,Electrokinesis,Energy Manipulation,Enhanced Senses,Fire Control,Force Fields,Holy Manipulation,Intelligence,Jump,Magic,Master Martial Artist,Mind Control Resistance,Non-Physical Interaction,Peak Human Condition,Power Nullifier,Soul Manipulation,Soul Resistance,Super Speed,Super Strength,Time Manipulation Resistance,Unholy Resistance,Weapon-based Powers,Weapons Master,Agility,Death Manipulation,Hellfire Resistance,Levitation,Possession Resistance,Self-Sustenance,Time Manipulation,Toxin and Disease Resistance,Water Control,Weather Control",Castlevania - Castlevania,Good,Male
Richter Belmont,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Male
Sara Trantoul,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Female
Shaft (The dark priest),85,30,50,80,90,80,5,"Ability Shift,Acausality,Agility,Air Control,Anti-Gravity,Antiforce Manipulation,Antimatter Manipulation,Arcane Magic,Arcane Magic,Aura,Avatar Creation,Awakened Power,Blood Manipulation,Chaos Manipulation,Corruption,Dark Arts,Dark Magic,Electro-Magnetism Manipulation,Electrokinesis,Energy Manipulation,Exorcism,Flight,Force Ghost,Gravity Control,Heal,Illusions,Immortality,Intelligence,Levitation,Magic,Magnetism,Mind Control,Necromancy,Peak Human Condition,Plasma Manipulation,Possession,Regeneration,Resurrection,Shockwaves Generation,Stamina,Super Breath,Super Speed,Super Strength,Supernatural Condition,Unholy Manipulation,Void Manipulation,Astral Projection,Astro Force,Body Puppetry,Causality Manipulation,Chaos Energy,Chaos Magic,Cloaking,Creation,Curse Manipulation,Ectoplasm Manipulation,Electrical Transport,Energy Beams,Food Manipulation,Force Fields,Higher Dimensional Manipulation,Hive-Mind,Information Analysis,Information Manipulation,Invisibility,Invulnerability,Life Manipulation,Longevity,Master Tactician,Memory Manipulation,Mind Transfer,Non-Physical Interaction,Pocket Dimensions,Postcognition,Power Augmentation,Power Cosmic,Power Sense,Pressure Points,Projection,Reflexes,Rune Magic,Salvation,Self-Sustenance,Shadow Manipulation,Shapeshifting,Soul Manipulation,Space Manipulation,Spirit Control,Summoning,Teleportation,Unholy Resistance,Vitakinesis,Vortex Creation,Weather Control,Absolute Condition,Accelerated Healing,Acrobatics,Afterimage Creation,Amber,Apathy,Apotheosis,Astral Trap,Astral Travel,Audio Control,Black Hole Manipulation,Bloodlust,Broadway Force,Chemokinesis,Clairvoyance,Clairvoyance Resistance,Cold Resistance,Compassion Inducement,Conceptual Manipulation,Cosmic Awareness,Danger Sense,Dark Matter Manipulation,Darkforce Manipulation,Data Manipulation,Death Manipulation,Death Touch,Deconstruction,Density Control,Dexterity,Dimension Storage,Dimensional Awareness,Dimensional Travel,Dream Manipulation,Element Control,Elemental Transmogrification,EMP Generation,Empathy,Endurance,Energy Blasts,Energy Constructs,Enhanced Condition,Enhanced Hearing,Enhanced Memory,Enhanced Senses,Enhanced Sight,Enhanced Smell,Enhanced Thievery,Enhanced Touch,Enigma Force,Entropy Projection,Extrasensory Perception,Fear Inducement,Fear Manipulation,Hellfire Manipulation,Homing Attack,Hyperkinesis,Hypnokinesis,Law Manipulation,Luck,Mathematics Manipulation,Matter Manipulation,Mechanical Aptitude,Metaphysics Manipulation,Mind Blast,Molecular Combustion,Molecular Dissipation,Molecular Immobilization,Molecular Manipulation,Molecular Oscillation,Morality Manipulation,Non-Corporeal,Nothingness Aspect Manifestation,Pain Manipulation,Perception Manipulation,Perfect Recollection,Physics Manipulation,Portal Creation,Precognition,Probability Manipulation,Psychometry,Reactive Power Level,Reality Warping,Scanning,Sense Manipulation,Sleep Manipulation,Smoke Manipulation,Social Influencing,Sonar,Sotobro Effect,Sound Manipulation,Space Survivability,Spaceflight,Spatial Awareness,Spatial Communication,Spatial Manipulation,Stasis,Statistics Amplification,Status Effect Inducement,Still Force,Telekinesis,Telepathy,Toxin and Disease Resistance,Transformation,Transmutation,Truth Manipulation,Umbrakinesis,Underwater breathing,Vibration Manipulation,Wind Control,Wishing",Castlevania - Castlevania,Bad,Male
Shanoa,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Female
Simon Belmont,65,100,7,100,100,80,7,"Durability,Intelligence,Peak Human Condition,Stamina,Super Speed,Super Strength,Weapon-based Powers,Weapons Master,Acrobatics,Agility,Apathy,Attack Reflection,Corruption Resistance,Dexterity,Endurance,Enhanced Senses,Enhanced Sight,Existence Erasure Resistance,Fire Control,Hellfire Resistance,Holy Manipulation,Holy Resistance,Jump,Longevity,Magic,Marksmanship,Mind Control Resistance,Non-Physical Interaction,Possession Resistance,Power Nullifier,Reflexes,Soul Resistance,Statistics Amplification,Stealth,Super Breath,Time Manipulation,Toxin and Disease Resistance,Invulnerability,Master Martial Artist,Self-Sustenance,Soul Manipulation",Castlevania - Castlevania,Good,Male
Soma Cruz,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Male
Sonia Belmont,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Female
Stella Lecarde,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Female
Sypha Belnades,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,Good,Female
Trevor C. Belmont,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,Good,Male
Yoko Belnades,0,0,0,0,0,0,0,Null,Castlevania - Castlevania,,Male
Zobek,90,6,65,80,80,90,6,"Ability Shift,Absolute Condition,Absorption,Acausality,Chaos Energy,Chaos Magic,Chaos Manipulation,Death Manipulation,Death Touch,Decay Embodiment,Deconstruction,Demon Physiology,Density Control,Dimension Storage,Dimensional Awareness,Dimensional Travel,Durability,Enhanced Condition,Enhanced Hearing,Enhanced Memory,Enhanced Senses,Enhanced Sight,Enhanced Smell,Enhanced Thievery,Enhanced Touch,Enigma Force,Entropy Projection,Existence Erasure,Exorcism,Force Ghost,Life Manipulation,Liquid Transmutation,Longevity,Madness Manipulation,Magic,Mind Control,Non-Corporeal,Non-Physical Interaction,Nothingness Aspect Manifestation,Resurrection,Self-Sustenance,Sense Manipulation,Shadow Manipulation,Shapeshifting,Soul Manipulation,Space Manipulation,Space Survivability,Spaceflight,Stamina,Super Speed,Super Strength,Unholy Manipulation,Weapon Creation,Weapon Summoning,Weapon-based Powers,Weapons Master,Accelerated Healing,Amphibious Respiration,Anti-Gravity,Antiforce Manipulation,Antimatter Manipulation,Arcane Magic,Arcane Magic,Blood Manipulation,Bloodlust,Causality Manipulation,Chain Manipulation,Changing Armor,Chemokinesis,Chi Manipulation,Clairvoyance,Cloth Manipulation,Cold Resistance,Compassion Inducement,Conceptual Manipulation,Corruption,Cosmic Awareness,Creation,Curse Manipulation,Danmaku,Dark Arts,Dark Magic,Dark Matter Manipulation,Darkforce Manipulation,Data Manipulation,Dream Manipulation,Ectoplasm Manipulation,Fear Inducement,Fear Manipulation,Higher Dimensional Manipulation,Hive-Mind,Hyperkinesis,Hypnokinesis,Immortality,Law Manipulation,Levitation,Necromancy,Organic Manipulation,Origin Manipulation,Pain Manipulation,Pocket Dimensions,Portal Creation,Possession,Postcognition,Power Bestowal,Power Cosmic,Regeneration,Spatial Awareness,Spatial Communication,Spatial Manipulation,Spirit Control,Summoning,Super Breath,Telekinesis,Telepathy,Astral Projection,Astral Trap,Astral Travel,Astro Force,Biokinesis,Black Hole Manipulation,Bullet Time,Mathematics Manipulation,Probability Manipulation,Projection,Reality Warping,Sleep Manipulation,Smoke Manipulation,Social Influencing,Sonar,Sotobro Effect,Sound Manipulation,Supernatural Condition,Supreme Power,Time Manipulation,Toxin and Disease Resistance,Transformation,Transmutation,Truth Manipulation,Umbrakinesis,Underwater breathing,Vitakinesis,Void Manipulation,Vortex Creation,Weather Control",Castlevania - Castlevania,Bad,Male
